GalaxyID,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate
16723181,2.13878927E10,1.20169808E11,1.40712922E12,3.508486E7,1.0038581E7,4.8733616,2.2035024
16725169,1.777519E10,1.10403518E11,2.30788642E12,9.151504E7,5.4553496E7,8.877387,0.2761293
16727954,3.5727659E10,1.41443908E11,3.66877055E12,2.45357312E8,1.25573864E8,9.275211,0.48798746
16731732,7.9003943E10,2.92278206E11,2.81903812E12,7.3968376E7,1.7727262E7,6.437747,4.641042
16736005,1.17373575E11,1.59907578E11,3.33161536E12,1.96930448E8,1.04882864E8,7.2668614,1.3957969
16740640,5.9711128E10,1.1606945E11,3.58085558E12,1.88312592E8,1.18261792E8,8.025639,0.0
16745327,9.2000846E10,2.36386419E11,3.00342837E12,1.2168548E8,2.6535942E7,5.599496,9.451089
16750450,4.5721534E10,1.65887525E11,2.32398022E12,5.3060916E7,2.1988574E7,5.9554925,2.0231586
16753621,8.569104E10,2.17025528E11,3.02004568E12,1.28919112E8,4.9556192E7,7.0511317,4.317416
16757694,3.8662447E10,1.73521895E11,3.15892721E12,1.22434672E8,7.6016408E7,8.603073,0.22373882
16761385,1.2702584E11,9.1976978E11,7.810397E12,2.83700064E8,1.15076288E8,7.1364326,0.7942002
16766392,2.62040248E10,5.6974868E9,3.09465866E10,5.273628E7,4.7468076E7,6.25455,4.695062
16770171,9.0099106E10,1.88011299E11,2.89982697E12,1.92139056E8,6.4600632E7,7.102151,3.6811934
16774781,1.68701985E11,6.1552801E11,9.3773785E12,6.6375603E8,3.9182416E8,8.8135805,0.7297908
